,이름,주거지,전화번호,추천인,생년월일,구매상품,PT 등록 여부,담당 트레이너,첫 BMI 지수,현재 BMI지수,목표 BMI 지수,사용 라커,최초 등록일,누적 운동 횟수,누적 PT 횟수,가장 최근 운동일,상품권 말소 시기
167,조알마,부암동,010-1998-0017,-,73.02.06,3개월권,N,-,25,24,22,167,2019년 02월 04일,4,0,2019년 07월 11일,2019년 09월 04일
168,조아철,구기동,010-1998-0018,-,76.03.21,12개월권,N,-,26,25,22,168,2019년 02월 06일,6,0,2019년 07월 15일,2020년 02월 06일
169,김혜정,홍은동,010-1998-0019,-,98.05.16,1개월권,Y,T김령진,28,26,25,169,2019년 02월 08일,8,0,2019년 07월 16일,2019년 08월 08일
170,박희자,효자동,010-1998-0020,-,98.05.17,12개월권,N,-,28,24,22,170,2019년 02월 10일,7,0,2019년 07월 16일,2020년 02월 10일
171,박자주,불광동,010-1998-0021,-,98.05.18,12개월권,N,-,23,21,18,171,2019년 02월 12일,2,0,2019년 07월 12일,2020년 02월 12일
172,연보라,홍지동,010-1998-0022,-,89.12.31,3개월권,N,-,24,23,19,172,2019년 02월 14일,1,0,2019년 07월 15일,2019년 08월 14일
173,김태형,평창동,010-1998-0023,-,97.02.14,12개월권,N,-,29,22,18,173,2019년 02월 16일,5,0,2019년 07월 14일,2020년 02월 16일
174,오나영,부암동,010-1998-0024,-,64.02.21,6개월권,Y,T정창현,25,20,18,174,2019년 02월 18일,3,8,2019년 07월 14일,2019년 08월 18일
175,오진실,구기동,010-1998-0025,-,73.02.06,3개월권,Y,T이유진,24,23,19,175,2019년 02월 20일,10,16,2019년 07월 01일,2019년 08월 20일
176,연주황,홍은동,010-1998-0026,-,76.03.21,3개월권,N,-,25,24,18,176,2019년 02월 22일,11,0,2019년 07월 10일,2020년 07월 22일
177,전윤기,효자동,010-1998-0027,오진실,05.08.18,12개월권,Y,T김령진,22,21,19,177,2019년 02월 24일,4,17,2019년 07월 05일,2020년 02월 24일
178,민하늘,불광동,010-1998-0028,최정상,01.10.16,6개월권,N,-,26,25,20,178,2019년 02월 26일,22,0,2019년 07월 16일,2019년 08월 26일
179,김민영,홍지동,010-1998-0029,조아철,98.05.19,12개월권,Y,T고진권,24,23,20,179,2019년 02월 28일,24,6,2019년 07월 11일,2020년 02월 28일
180,임은영,평창동,010-1998-0030,조알마,98.05.20,12개월권,N,-,27,26,20,180,2019년 03월 02일,57,0,2019년 07월 15일,2020년 03월 02일
181,오지영,부암동,010-1998-0031,민하늘,98.05.21,3개월권,Y,T정창현,25,24,20,181,2019년 03월 04일,23,4,2019년 07월 16일,2019년 08월 04일
182,이은총,구기동,010-1998-0032,전윤기,89.12.32,12개월권,Y,T고진권,26,25,20,182,2019년 03월 06일,23,8,2019년 07월 16일,2020년 03월 06일
183,최경희,홍은동,010-1998-0033,-,97.02.15,12개월권,Y,T정창현,28,25,20,183,2019년 03월 08일,21,9,2019년 07월 12일,2020년 03월 08일
184,황금수,효자동,010-1998-0034,-,64.02.22,6개월권,Y,T고진권,27,26,23,184,2019년 03월 10일,40,10,2019년 07월 15일,2019년 09월 10일
185,지창욱,불광동,010-1998-0035,-,73.02.07,1개월권,Y,T김경문,25,23,20,185,2019년 03월 12일,11,10,2019년 07월 14일,2019년 08월 12일
186,연희경,홍지동,010-1998-0036,-,76.03.22,12개월권,N,-,29,27,22,186,2019년 03월 14일,13,0,2019년 07월 14일,2020년 03월 14일
187,김정연,평창동,010-1998-0037,-,98.05.19,12개월권,N,-,30,28,22,187,2019년 03월 16일,14,0,2019년 07월 01일,2020년 03월 16일
188,안정민,부암동,010-1998-0038,-,98.05.20,3개월권,N,-,30,29,22,188,2019년 03월 18일,21,0,2019년 07월 10일,2019년 09월 18일
189,함윤주,구기동,010-1998-0039,-,98.05.21,3개월권,Y,T정창현,26,24,23,189,2019년 03월 20일,24,17,2019년 07월 05일,2019년 09월 20일
190,금소영,홍은동,010-1998-0040,-,89.12.32,12개월권,N,-,27,25,22,190,2019년 03월 22일,30,0,2019년 07월 16일,2020년 03월 22일
191,진다혜,효자동,010-1998-0041,-,97.02.15,3개월권,N,-,27,26,22,191,2019년 03월 24일,12,0,2019년 07월 11일,2019년 09월 24일
192,주명자,불광동,010-1998-0042,-,64.02.22,6개월권,N,-,25,23,20,192,2019년 03월 26일,14,0,2019년 07월 15일,2019년 09월 26일
193,김옥자,홍지동,010-1998-0043,조알마,73.02.07,12개월권,N,-,26,24,20,193,2019년 03월 28일,12,0,2019년 07월 16일,2020년 03월 28일
194,양경애,평창동,010-1998-0044,민하늘,76.03.22,3개월권,Y,T김령진,23,21,20,194,2019년 03월 30일,20,3,2019년 07월 16일,2019년 09월 30일
195,조가연,부암동,010-1998-0045,김태형,05.08.19,12개월권,Y,T고진권,33,31,20,195,2019년 04월 01일,22,5,2019년 07월 12일,2020년 04월 01일
196,권지수,홍지동,010-1998-0046,김태형,01.10.17,3개월권,N,-,22,22,20,196,2019년 04월 03일,23,0,2019년 07월 15일,2019년 10월 03일
197,우진우,평창동,010-1998-0047,진다혜,98.05.22,6개월권,Y,T김경문,24,24,22,197,2019년 04월 05일,30,7,2019년 07월 14일,2019년 10월 05일
198,김우석,부암동,010-1998-0048,금소영,98.05.23,3개월권,N,-,25,25,22,198,2019년 04월 07일,5,0,2019년 07월 14일,2019년 10월 07일
199,박진주,구기동,010-1998-0049,김태형,98.05.24,3개월권,Y,T정창현,27,26,25,199,2019년 04월 09일,20,9,2019년 07월 01일,2019년 10월 09일
200,남도현,홍은동,010-1998-0050,김우석,89.12.33,1개월권,N,-,27,25,20,200,2019년 04월 11일,20,0,2019년 07월 10일,2019년 08월 11일
201,송강호,흥지동,010-6181-1348,-,91.12.01,6개월권,Y,T고진권,28,27.5,23,201,2019년 04월 04일,25,12,2019년 07월 15일,2019년 10월 03일
202,박해일,평창동,010-9421-4912,송강호,87.03.01,6개월권,Y,T신창호,28.5,28,24.2,202,2019년 02월 02일,45,21,2019년 06월 25일,2019년 08월 01일
203,전미선,부암동,010-4843-8915,송진민,86.02.01,12개월권,Y,T한로빈,29,24.5,25,-,2018년 12월 25일,125,60,2019년 07월 04일,2019년 12월 24일
204,김준한,구기동,010-9445-4912,전미선,65.12.30,12개월권,Y,T김경문,24.5,25,24,204,2018년 09월 24일,151,70,2019년 07월 03일,2019년 09월 23일
205,차래형,홍은동,010-1594-7956,-,95.11.22,12개월권,Y,T정창현,26.7,23.6,25,205,2019년 01월 07일,81,40,2019년 07월 05일,2020년 01월 06일
206,윤정일,효자동,010-9842-1351,-,76.04.27,12개월권,Y,T김령진,28,25,26,206,2019년 03월 02일,24,12,2019년 07월 06일,2020년 03월 01일
207,탕준상,불광동,010-1621-5162,-,93.10.30,12개월권,Y,T이유진,25.5,23.5,24,-,2019년 04월 04일,22,11,2019년 06월 26일,2020년 04월 03일
208,금새록,흥지동,010-9671-0684,금새록,87.04.05,6개월권,N,-,26.7,24.5,25,208,2019년 05월 25일,15,0,2019년 06월 26일,2019년 11월 24일
209,조철현,평창동,010-3917-9675,-,89.06.09,6개월권,N,-,29.4,25,27,-,2019년 06월 22일,11,0,2019년 07월 02일,2020년 02월 21일
210,이송원,부암동,010-9312-5948,송강호,90.08.16,12개월권,N,-,30.2,27.6,26,210,2019년 03월 15일,31,0,2019년 07월 05일,2020년 03월 14일
211,이정세,구기동,010-4951-4163,-,91.09.09,12개월권,N,-,31.4,25.5,24,211,2018년 12월 25일,101,0,2019년 07월 05일,2019년 12월 24일
212,김지훈,홍은동,010-3644-1332,-,92.09.09,12개월권,N,-,29.4,26.4,25,-,2019년 05월 26일,7,0,2019년 06월 29일,2020년 05월 25일
213,김진선,효자동,010-3631-1928,남현식,93.09.09,12개월권,N,-,28.2,25.9,26,213,2019년 04월 07일,41,0,2019년 06월 29일,2020년 04월 06일
214,전재환,불광동,010-3145-1593,한태민,82.05.04,6개월권,N,-,27.4,24.8,24,214,2019년 07월 02일,3,0,2019년 06월 28일,2020년 01월 01일
215,최희영,흥지동,010-5672-1033,박성준,95.07.05,3개월권,Y,T고진권,23,19.5,17,-,2019년 01월 23일,81,21,2019년 07월 13일,2019년 07월 22일
216,서효진,평창동,010-8267-1251,-,93.09.27,3개월권,N,-,23.6,23,19,216,2019년 06월 27일,7,0,2019년 07월 06일,2019년 09월 26일
217,김민혁,부암동,010-2756-5454,박성준,96.02.16,1개월권,N,-,24.1,24,20,217,2019년 07월 02일,4,0,2019년 06월 30일,2019년 08월 01일
218,이재윤,구기동,010-1741-0547,-,85.11.04,6개월권,Y,T김경문,26,22,19,-,2018년 09월 01일,162,15,2019년 07월 14일,2019년 08월 31일
219,최원식,홍은동,010-2563-2536,박성준,93.06.30,12개월권,N,-,24.5,23,20,219,2019년 02월 12일,72,0,2019년 07월 14일,2020년 02월 11일
220,강수지,효자동,010-4512-0323,-,90.03.19,6개월권,Y,T김령진,25,20.3,17,-,2018년 06월 15일,203,52,2019년 07월 05일,2019년 09월 14일
221,김세진,불광동,010-1877-2998,-,98.01.21,1개월권,N,-,24.5,24,20,221,2019년 06월 30일,6,0,2019년 07월 13일,2019년 07월 29일
222,김승현,흥지동,010-4237-5604,송강호,00.07.23,3개월권,N,-,23.7,21,20.5,222,2019년 05월 03일,37,0,2019년 06월 29일,2019년 08월 02일
223,이현아,평창동,010-1145-8289,-,92.10.15,3개월권,Y,T신창호,23.4,20.7,18,223,2019년 02월 17일,75,6,2019년 07월 01일,2019년 08월 16일
224,박성준,부암동,010-5968-2326,-,88.12.03,6개월권,Y,T한로빈,25.4,21.8,20,-,2018년 12월 28일,96,11,2019년 07월 12일,2019년 08월 27일
225,한태민,구기동,010-6274-9203,송강호,95.01.24,3개월권,Y,T김경문,21.5,21,18,225,2019년 07월 03일,2,1,2019년 07월 09일,2019년 10월 02일
226,남현식,홍은동,010-7385-9715,-,90.05.11,3개월권,N,-,27,23.2,18,226,2018년 02월 26일,224,0,2019년 07월 07일,2019년 08월 25일
227,전나일,효자동,010-2019-0011,-,90.06.01,12개월권,Y,T김령진,27.5,25,20,227,2019년 05월 01일,70,15,2019년 07월 16일,2020년 04월 29일
228,빈본광,불광동,010-2019-0012,송강호,91.01.17,12개월권,Y,T이유진,27.6,25.5,22.5,-,2019년 05월 01일,73,5,2019년 07월 16일,2020년 04월 29일
229,최인오,흥지동,010-2019-0013,박성준,92.03.21,12개월권,N,-,25.1,24,20.1,229,2019년 05월 01일,77,0,2019년 07월 16일,2020년 04월 29일
230,조유일,평창동,010-2019-0014,-,93.05.07,6개월권,Y,T신창호,29,26.8,22.5,230,2019년 05월 01일,60,17,2019년 07월 10일,2019년 10월 31일
231,송진민,부암동,010-2019-0015,박성준,94.11.11,1개월권,Y,T한로빈,25.1,24.5,23,-,2019년 07월 01일,10,5,2019년 07월 16일,2019년 07월 31일
232,이윤호,구기동,010-2019-0016,-,95.06.05,1개월권,N,-,17.6,18,20,232,2019년 07월 01일,16,0,2019년 07월 16일,2019년 07월 31일
233,안기민,홍은동,010-2019-0017,강수지,93.07.18,3개월권,Y,T정창현,27.5,25,20,-,2019년 05월 01일,56,10,2019년 07월 13일,2019년 07월 31일
234,남민,효자동,010-2019-0018,-,95.04.04,12개월권,N,-,30.1,29,24,234,2019년 05월 01일,54,0,2019년 06월 30일,2020년 04월 29일
235,안선규,불광동,010-2019-0019,강수지,95.12.24,9개월권,Y,T이유진,35.1,32,25.1,-,2019년 05월 01일,50,25,2019년 06월 30일,2020년 01월 31일
236,이낙관,흥지동,010-2019-0020,-,93.02.01,3개월권,N,-,27.5,25,20,236,2019년 05월 01일,50,0,2019년 07월 12일,2019년 07월 31일
237,공대성,평창동,010-2019-0021,박성준,95.09.11,3개월권,Y,T신창호,27.5,25,20,237,2019년 05월 01일,25,5,2019년 07월 16일,2019년 07월 31일
238,이창복,부암동,010-2019-0022,-,95.08.15,1개월권,Y,T한로빈,17.6,18,20,-,2019년 07월 01일,12,6,2019년 07월 16일,2019년 07월 31일
239,김명희,구기동,010-7237-5168,박성준,86.01.02,6개월권,N,-,25.8,24,20,239,2019년 05월 13일,50,0,2019년 07월 11일,2019년 11월 13일
240,박철수,홍은동,010-6381-5053,-,76.05.11,6개월권,N,-,30.2,29,23,-,2019년 03월 24일,32,0,2019년 07월 02일,2019년 09월 24일
241,이현우,효자동,010-6717-9862,박성준,96.12.02,6개월권,Y,T김령진,35.5,33,25,241,2019년 04월 15일,33,20,2019년 07월 13일,2019년 10월 15일
242,정승민,불광동,010-8716-3706,-,66.12.25,9개월권,N,-,25.2,24,18,-,2019년 05월 26일,50,0,2019년 07월 15일,2020년 02월 26일
243,이짱구,흥지동,010-9970-2490,송강호,97.10.17,9개월권,Y,T고진권,26.7,27,20,243,2019년 02월 17일,122,11,2019년 07월 15일,2019년 07월 17일
244,이민지,평창동,010-7883-7106,-,86.09.29,9개월권,N,-,33.8,31,24,244,2019년 02월 28일,100,0,2019년 06월 26일,2019년 07월 28일
245,최지혜,부암동,010-9078-4552,-,50.12.14,3개월권,Y,T한로빈,24.1,23,20,-,2019년 05월 12일,40,121,2019년 07월 07일,2019년 08월 12일
246,이영자,구기동,010-6393-8114,송강호,85.03.02,12개월권,Y,T김경문,29.5,27,20,-,2019년 05월 25일,26,53,2019년 07월 18일,2020년 05월 25일
247,김준,홍은동,010-1610-6490,-,82.02.17,12개월권,N,-,24.1,24,19,247,2019년 05월 11일,55,0,2019년 07월 12일,2020년 05월 11일
248,한민정,효자동,010-2345-8072,강수지,58.05.13,3개월권,N,-,22.9,22,20,-,2019년 04월 22일,54,0,2019년 07월 20일,2019년 07월 22일
249,유재석,불광동,010-1650-3206,강수지,90.11.21,12개월권,Y,T이유진,27.6,26,19,-,2019년 01월 23일,70,52,2019년 07월 14일,2020년 01월 23일
250,윤아영,흥지동,010-7472-6961,-,65.11.19,12개월권,N,-,32.8,29,23,250,2018년 12월 24일,153,0,2019년 07월 02일,2019년 12월 24일
251,김민정,홍은동,010-5648-4851,박지수,95.05.28,6개월권,N ,-,24.4,23,20,-,2019년 01월 01일,40,0,2019년 07월 16일,2019년 12월 29일
252,정구일,홍은동,010-7755-1124,박지수,93.02.24,6개월권,Y,T고진권,21.8,21,19,-,2019년 04월 03일,23,10,2019년 07월 15일,2019년 10월 03일
253,김형택,평창동,010-1548-5824,박지상,94.05.12,3개월권,N ,-,22,21,20,-,2019년 05월 15일,15,0,2019년 07월 13일,2019년 08월 15일
254,김연아,평창동,010-8796-4282,-,93.08.12,6개월권,Y,T고진권,28,26,20,-,2019년 03월 14일,26,15,2019년 07월 08일,2019년 09월 14일
255,이승기,홍은동,010-8769-7898,박지상,91.05.15,3개월권,N ,-,30,28,23,-,2019년 04월 28일,18,0,2019년 07월 09일,2019년 07월 28일
256,강호동,홍은동,010-1234-4882,박세훈,87.09.15,6개월권,Y,T고진권,38,35,30,-,2019년 02월 28일,35,15,2019년 07월 11일,2019년 08월 28일
257,이수근,홍지동,010-4524-5752,박세훈,89.02.21,3개월권,N ,-,32,31,28,-,2019년 06월 04일,11,0,2019년 07월 10일,2019년 09월 04일
258,송민호,홍지동,010-4118-8893,-,91.05.21,6개월권,N ,-,25,25,23,-,2019년 05월 01일,14,0,2019년 06월 30일,2019년 11월 01일
259,은지원,홍은동,010-1457-8923,박지수,90.08.25,3개월권,Y,T이유진,33,32,28,-,2019년 04월 30일,30,20,2019년 07월 03일,2019년 07월 30일
260,안재현,평창동,010-3654-8866,-,91.04.02,12개월권,Y,T이유진,39,28,28,-,2018년 08월 20일,80,30,2019년 07월 16일,2019년 08월 20일
261,박도희 ,구기동,010-3456-2345,박상민,96.05.22,6개월권,Y,T이유진,30,28,25,-,2019년 01월 10일,50,7,2019년 07월 10일,2020년 02월 09일
262,조광희 ,평창동,010-3355-6039,-,96.11.22,3개월권,N,-,18,19,22,-,2019년 02월 05일,55,0,2019년 06월 24일,2019년 08월 03일
263,박상민,구기동,010-5566-1234,-,96.03.01,6개월권,N,-,28,28,25,-,2019년 04월 10일,33,0,2019년 06월 19일,2019년 10월 09일
264,김요한,구기동,010-8896-6543,안효섭,94.12.24,12개월권,N,-,36,32,25,-,2019년 07월 10일,3,0,2019년 07월 12일,2020년 07월 09일
265,안효섭,홍지동,010-8987-2954,-,99.10.31,6개월권,Y,T이유진,25,24,20,-,2019년 07월 10일,3,1,2019년 07월 12일,2019년 01월 09일
266,박주안,구기동,010-5672-4759,-,89.10.11,3개월권,N,-,24,22,20,-,2019년 04월 11일,16,0,2019년 07월 01일,2019년 07월 10일
267,김주원,구기동,010-2676-9953,이월성,92.09.08,6개월권,Y,T이유진,15,17,20,-,2019년 05월 06일,24,3,2019년 07월 13일,2019년 11월 05일
268,송형우,구기동,010-2789-4567,이월성,93.06.01,6개월권,Y,T한로빈,34,33,25,-,2019년 04월 29일,25,4,2019년 07월 13일,2019년 10월 28일
269,이월성,효자동,010-2145-9092,-,91.03.21,3개월권,Y,T이유진,22,24,25,269,2019년 02월 12일,45,9,2019년 07월 15일,2019년 08월 10일
270,송병구,효자동,010-2210-4851,-,91.05.04,6개월권,N ,-,30,28,20,270,2019년 03월 01일,21,0,2019년 07월 13일,2019년 09월 01일
271,이영호,효자동,010-2255-1724,박지상,83.12.24,6개월권,Y,T한로빈,23,25,21,271,2019년 04월 03일,23,10,2019년 07월 13일,2019년 10월 03일
272,이제동,효자동,010-1548-5648,박지상,74.01.21,3개월권,N ,-,27,21,20,272,2019년 05월 15일,8,0,2019년 07월 01일,2019년 08월 15일
273,박정석,효자동,010-8196-4282,-,65.08.15,6개월권,N ,-,28,25,20,273,2019년 03월 14일,45,0,2019년 07월 13일,2019년 09월 14일
274,김택용,평창동,010-8569-5485,-,98.05.31,6개월권,Y,T한로빈,30,28,23,274,2019년 04월 28일,27,15,2019년 07월 01일,2019년 10월 28일
275,이윤열,평창동,010-1754-4842,이영호,97.12.15,6개월권,N ,-,24,23,18,275,2019년 02월 28일,24,0,2019년 07월 13일,2019년 08월 28일
276,홍진호,평창동,010-5115-7896,이영호,75.12.21,3개월권,N ,-,25,25,23,276,2019년 06월 04일,40,0,2019년 07월 13일,2019년 09월 04일
277,도재욱,평창동,010-4118-8893,-,88.07.27,6개월권,N ,-,28,26,23,277,2019년 05월 01일,33,0,2019년 07월 01일,2019년 11월 01일
278,임요환,평창동,010-4512-7896,이영호,98.10.21,12개월권,Y,T한로빈,33,32,28,278,2019년 04월 30일,80,20,2019년 07월 13일,2020년 04월 30일
279,김윤환,평창동,010-5846-3339,-,94.04.04,12개월권,Y,T한로빈,32,21,28,-,2018년 08월 20일,154,30,2019년 07월 07일,2019년 08월 20일
280,김상문,홍제동,010-3942-3455,김성문,97.05.14,3개월권,Y,T한로빈,23,24,21,-,2019년 05월 04일,30,6,2019년 07월 12일,2019년 07월 31일
281,김성문,홍제동,010-2954-3059,-,99.02.05,6개월권,Y,T한로빈,22.3,22,20,-,2019년 05월 13일,24,4,2019년 07월 01일,2019년 10월 30일
282,강참치,홍제동,010-1940-5834,김성문,88.09.19,3개월권,N,-,25.4,24,22,-,2019년 05월 02일,33,0,2019년 07월 04일,2019년 07월 31일
283,박힘찬,홍제동,010-4859-2843,-,90.12.01,3개월권,N,-,25,24,21,283,2019년 05월 01일,12,0,2019년 07월 10일,2019년 07월 31일
284,이선행,홍제동,010-2853-2847,박힘찬,92.04.05,12개월권,Y,T한로빈,20,20,18,284,2019년 07월 08일,3,3,2019년 06월 29일,2019년 12월 31일
285,이발달,부암동,010-0483-2185,김성문,93.06.18,1개월권,N,-,26,25.6,22,285,2019년 06월 01일,4,0,2019년 07월 05일,2019년 06월 30일
286,감호성,부암동,010-4475-2534,박힘찬,97.11.30,1개월권,N,-,24,23.5,20,286,2019년 06월 03일,15,0,2019년 07월 06일,2019년 06월 30일
287,정이상,평창동,010-3958-2295,김상문,89.04.09,3개월권,Y,T한로빈,25.7,25.4,23,-,2019년 07월 24일,17,7,2019년 06월 30일,2019년 09월 30일
288,차시경,홍제동,010-2904-9987,이발달,96.04.07,6개월권,N,-,23,22.7,20,-,2019년 05월 01일,20,0,2019년 07월 08일,2019년 10월 31일
289,임기찬,홍지동,010-1532-8765,박힘찬,95.01.02,1개월권,N,-,25,24,20,-,2016년 06월 01일,2,0,2019년 07월 13일,2019년 06월 30일
290,한동우,홍제동,010-3187-5668,-,93.07.18,12개월권,Y,T한로빈,28,24,20,-,2018년 07월 21일,250,20,2019년 07월 15일,2019년 07월 21일
291,박지상,홍제동,010-1121-3421,한동우,94.01.20,6개월권,N,-,30,29,27,291,2019년 03월 23일,133,0,2019년 07월 01일,2019년 09월 23일
292,김준원,홍제동,010-2991-1193,-,93.04.29,3개월권,N,-,29,26,22,292,2019년 07월 15일,1,0,2019년 07월 16일,2019년 10월 15일
293,우상호,홍제동,010-1232-4566,김선민,93.03.10,12개월권,Y,T김경문,28,25,20,293,2018년 11월 11일,153,16,2019년 07월 14일,2019년 11월 11일
294,김선민,부암동,010-3456-7431,-,93.04.11,6개월권,Y,T정창현,25.5,25,21,294,2019년 03월 30일,48,20,2019년 07월 16일,2019년 09월 30일
295,오경필,부암동,010-1231-4567,한동우,93.11.31,12개월권,Y,T정창현,22,22,20,295,2018년 12월 11일,192,25,2019년 07월 16일,2019년 12월 11일
296,현신후,평창동,010-9846-0000,-,94.01.10,3개월권,N,-,25,24,20,-,2019년 06월 27일,23,0,2019년 07월 05일,2019년 09월 27일
297,박성훈,홍제동,010-3454-8751,-,93.06.27,6개월권,Y,T김경문,26,23,25,-,2019년 02월 22일,39,15,2019년 07월 13일,2019년 08월 22일
298,이정일,홍지동,010-2017-1234,오경필,93.12.21,12개월권,N,-,28.6,29,24,-,2018년 10월 11일,238,0,2019년 07월 16일,2019년 10월 11일
299,김세하,홍제동,010-3468-1286,-,93.07.05,3개월권,Y,T정창현,27.4,25,21,-,2019년 05월 24일,34,10,2019년 07월 02일,2019년 08월 24일
300,김씨네,홍제동,010-5252-5864,-,93.05.05,3개월권,Y,T정창현,28,26,22,-,2019년 05월 24일,31,0,2019년 07월 02일,2019년 08월 24일
301,유승우,불광동,010-5857-2424,박보검,96.03.08,3개월권,N,-,25,24,15,350,2019년 05월 03일,12,0,2019년 07월 01일,2019년 10월 01일
302,박진희,홍지동,010-3456-2124,박보검,96.02.07,3개월권,N,-,26,23,16,349,2019년 04월 01일,12,0,2019년 07월 08일,2019년 08월 16일
303,김진우,평창동,010-5843-2024,박보검,96.02.08,3개월권,N,-,27,25,17,348,2017년 11월 15일,12,0,2019년 07월 08일,2019년 08월 01일
304,오명희,부암동,010-5855-2421,박보검,96.02.09,3개월권,N,-,28,24,18,347,2019년 05월 06일,13,0,2019년 07월 14일,2019년 10월 01일
305,김진우,구기동,010-5858-2324,박보검,96.03.08,3개월권,Y,T고진권,28,24,18,346,2019년 02월 22일,12,3,2019년 07월 10일,2019년 08월 16일
306,이선희,홍은동,010-5448-2424,박보검,99.03.08,3개월권,Y,T신창호,26,23,16,345,2019년 04월 01일,15,3,2019년 07월 08일,2019년 08월 01일
307,유승아,불광동,010-5828-3334,박보검,67.05.01,3개월권,Y,T한로빈,27,25,17,344,2019년 05월 06일,16,3,2019년 07월 14일,2019년 08월 01일
308,양성연,홍지동,010-5158-2424,박보검,92.03.04,3개월권,N,-,28,24,18,343,2019년 02월 22일,12,0,2019년 07월 01일,2019년 10월 01일
309,유성연,평창동,010-5858-2400,박보검,94.03.02,3개월권,N,-,25,24,15,342,2019년 04월 01일,16,0,2019년 07월 08일,2019년 08월 16일
310,최성현,구기동,010-5258-2424,박보검,00.02.03,3개월권,N,-,26,23,16,341,2018년 02월 22일,19,0,2019년 07월 14일,2019년 08월 01일
311,강주형,불광동,010-2019-0711,-,92.03.11,3개월권,Y,T고진권,27.5,25.01,25,340,2018년 04월 01일,23,11,2019년 07월 10일,2019년 10월 01일
312,김가연,홍지동,010-9886-9456,김주은,98.05.26,1개월권,N,-,24.22,23.29,20,339,2018년 02월 22일,15,0,2019년 07월 10일,2019년 08월 16일
313,김주은,평창동,010-9345-3452,-,98.03.12,1개월권,N,-,22.1,22.1,20,338,2018년 04월 01일,1,0,2019년 07월 10일,2019년 08월 01일
314,김은진,구기동,010-2234-3411,김주은,98.07.30,3개월권,N,-,28.05,26.78,25,337,2018년 02월 22일,28,0,2019년 07월 10일,2019년 10월 10일
315,나경은,불광동,010-0982-1675,-,84.08.09,1개월권,N,-,18.99,18.01,20,336,2018년 02월 22일,2,0,2019년 07월 01일,2019년 08월 08일
316,마동석,홍지동,010-2225-7789,-,73.01.22,6개월권,Y,T김경문,30.11,30.17,25,335,2018년 04월 01일,31,8,2019년 07월 08일,2020년 01월 19일
317,심주혁,평창동,010-1217-5564,-,68.07.08,12개월권,Y,T정창현,26.27,20.91,20,334,2018년 02월 22일,69,20,2019년 07월 14일,2020년 04월 19일
318,이채현,구기동,010-7878-1256,임은지,65.12.19,6개월권,N,-,27.88,27.03,20,333,2018년 04월 01일,22,2,2019년 07월 16일,2020년 02월 14일
319,임은지,불광동,010-8945-7833,-,88.08.08,6개월권,Y,T김령진,31.22,29.44,25,332,2019년 07월 10일,7,7,2019년 07월 17일,2019년 08월 08일
320,주재현,홍지동,010-9765-2223,최가연,87.01.02,6개월권,N,-,20.14,20.22,20,331,2019년 04월 01일,0,0,2019년 06월 30일,2019년 04월 22일
321,추인성,평창동,010-1145-5542,-,82.11.11,1개월권,Y,T이유진,38.29,38.51,30,330,2019년 05월 03일,11,10,2019년 07월 10일,2019년 08월 08일
322,추지연,구기동,010-9805-0094,-,97.05.06,1개월권,N,-,27.28,25,25,329,2019년 02월 22일,25,0,2019년 07월 04일,2019년 06월 12일
323,최가연,불광동,010-5747-5673,-,96.04.17,1개월권,Y,T김경문,26.11,25.2,25,328,2019년 04월 01일,3,1,2019년 07월 14일,2019년 08월 09일
324,김동건,홍지동,010-5747-5113,박보영,89.08.15,6개월권,N,-,27,24,17,327,2018년 04월 28일,47,0,2019년 07월 16일,2019년 08월 01일
325,최동건,평창동,010-5227-5673,박보영,92.08.15,6개월권,N,-,28,24,18,326,2017년 11월 15일,49,0,2019년 07월 14일,2019년 10월 10일
326,박동건,부암동,010-9747-5673,박보영,95.08.15,6개월권,N,-,28,23,18,325,2019년 07월 10일,51,0,2019년 06월 16일,2019년 08월 08일
327,오동건,홍은동,010-7777-5673,유승우,96.08.15,6개월권,N,-,25,25,15,324,2017년 11월 15일,53,0,2019년 07월 17일,2020년 01월 19일
328,박보검,구기동,010-8707-8080,유승우,98.11.11,6개월권,N,-,26,24,16,323,2019년 05월 06일,55,0,2019년 07월 14일,2019년 08월 01일
329,박보영,불광동,010-1010-2020,유승우,94.03.01,6개월권,N,-,27,24,17,322,2018년 04월 28일,57,0,2019년 07월 16일,2019년 10월 10일
330,이보검,홍지동,010-1330-2021,유승우,92.06.06,6개월권,N,-,28,17,18,321,2018년 02월 22일,59,0,2019년 07월 17일,2019년 08월 08일
331,최보검,평창동,010-1010-2022,유승우,85.06.06,6개월권,N,-,28,15,18,320,2018년 04월 01일,61,0,2019년 07월 04일,2020년 01월 19일
332,양보검,부암동,010-7016-2023,유승우,77.06.06,6개월권,N,-,26,24,16,319,2018년 02월 22일,63,0,2019년 07월 14일,2019년 08월 26일
333,서강준,구기동,010-1260-2024,유승우,68.05.21,6개월권,N,-,27,24,17,318,2018년 04월 01일,65,0,2019년 07월 16일,2019년 08월 01일
334,이강준,불광동,010-1010-2025,유승우,68.06.06,6개월권,N,-,28,16,18,317,2018년 05월 03일,67,0,2019년 07월 14일,2019년 10월 10일
335,박강준,홍지동,010-1450-2026,유승우,87.06.06,6개월권,Y,T정창현,25,25,15,316,2018년 04월 01일,69,8,2019년 06월 16일,2019년 08월 08일
